상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,경도,위도
A,골목상권,3110008,배화여자대학교(박노수미술관),197093,453418,11110,종로구,11110515,청운효자동,149264,126.96787635451282,37.58305899481217
A,골목상권,3110009,자하문터널,196991,455057,11110,종로구,11110550,부암동,178306,126.96671469421138,37.5978257989425
A,골목상권,3110010,평창동서측,197064,456643,11110,종로구,11110560,평창동,369415,126.96753482122593,37.61211562147057
A,골목상권,3110017,정독도서관,198581,453781,11110,종로구,11110600,가회동,83855,126.9847218939437,37.58633317183435
A,골목상권,3110018,중앙고등학교,198883,453690,11110,종로구,11110600,가회동,166872,126.98814125966062,37.58551371202711
A,골목상권,3110019,창덕궁,199222,452926,11110,종로구,11110615,종로1?2?3?4가동,40999,126.99198022580867,37.578630550586816
A,골목상권,3110020,서울국제고등학교,199598,454302,11110,종로구,11110650,혜화동,133692,126.99623595221834,37.5910283811785
A,골목상권,3110001,이북5도청사,196262,456660,11110,종로구,11110560,평창동,108529,126.95845142370044,37.61226582306455
A,골목상권,3110002,독립문역 1번,196220,452912,11110,종로구,11110570,무악동,31531,126.9579954096712,37.5784967748634
A,골목상권,3110003,세검정초등학교,196389,455998,11110,종로구,11110550,부암동,191570,126.95989313005089,37.60630184031526
A,골목상권,3110004,대신고등학교,196517,452627,11110,종로구,11110580,교남동,18781,126.96135904488568,37.57593015458027
A,골목상권,3110035,동묘앞역 2번,201699,452879,11110,종로구,11110710,숭인2동,95779,127.02002162161408,37.57820602227248
A,골목상권,3110012,성곡미술관,197292,452641,11110,종로구,11110530,사직동,124348,126.97013225572172,37.57605895117191
A,골목상권,3110014,경복고등학교,197484,453952,11110,종로구,11110515,청운효자동,63411,126.97230114943916,37.58787143590056
A,골목상권,3110016,평창동동측,197827,457040,11110,종로구,11110560,평창동,522818,126.97617521062593,37.61569468872915
A,골목상권,3110005,세검정,196688,455706,11110,종로구,11110550,부암동,244923,126.96328063394104,37.60367211739411
A,골목상권,3110006,부암동주민센터,196701,454714,11110,종로구,11110550,부암동,91486,126.96343240900386,37.59473441069613
A,골목상권,3110007,사직공원(한국사회과학도서관),196895,452714,11110,종로구,11110530,사직동,80252,126.96563775730218,37.5767153912009
A,골목상권,3110037,신설동역 12번,201949,453159,11110,종로구,11110710,숭인2동,55232,127.022852512938,37.580728306940856
A,골목상권,3110038,경향신문사,197253,451928,11140,중구,11140520,소공동,36893,126.9696934952796,37.569634792717615
A,골목상권,3110039,회현역 1번,198305,450967,11140,중구,11140540,회현동,9928,126.9816037970716,37.56097890105855
A,골목상권,3110021,성균관대학교,199759,453776,11110,종로구,11110650,혜화동,77655,126.99805911482552,37.586289266935886
A,골목상권,3110022,경신고등학교,199921,454166,11110,종로구,11110650,혜화동,60182,126.99989318796648,37.58980314881394
A,골목상권,3110023,서울대병원,200139,453265,11110,종로구,11110640,이화동,15969,127.00236138911868,37.58168527696696
